token,amount,start,end,owner,newowner,duration
614,100,1676214443,1802304000,0x6b9a5a31af69c6c704a9b705e4eff0d7a0a2e20e,,1459
616,150,1676214635,1802304000,0x831d9794ba02a2fa81caef8202dff99030cf0415,,1459
617,103,1676271215,1802304000,0x2e86e031edce8e79750deb6c7afb61956b1ebeb5,,1459
618,121,1676327747,1802304000,0x2439b286197100dce010952548076eedd22a37e8,,1458
619,1000,1676369351,1802304000,0x8d5ba2b764356ddc9997fed94dcf83367e8a10a2,,1458
620,500,1676454587,1802304000,0x51ecc9e8efdd18f740cc1791f6d55109ebec7ac1,,1457
621,1615,1676461343,1722470400,0x5e48de61d7ee32c5ae30d434d792dd848d3dde35,,533
622,5001,1676481707,1802304000,0x51ecc9e8efdd18f740cc1791f6d55109ebec7ac1,,1456
623,100,1676556863,1802304000,0xc37682abec53b0fdcc619b811561744ec6b2cbe3,,1455
624,500,1676558255,1719446400,0xed420f5f00186fa868aff815f9f5725be1cadc6d,,496
626,104,1676629979,1802304000,0xae4afe29504f999795227da161b17675b178204a,,1455
628,513,1676719127,1802304000,0x3f547239849263f9e3383413cb4742e098404d39,,1454
629,101,1676754995,1802304000,0xda075478a7110b608bb857be507f9e8769093d49,,1453
631,100,1676819819,1802908800,0x40c6372885e15429acdc39671c11fe847a166501,,1459
632,101,1676923991,1802908800,0xe0f0c1f4c1549cfe125d26af190006d67087b53a,,1458
635,100,1677102995,1802908800,0x547283f06b4479fa8bf641caa2ddc7276d4899bf,,1456
637,100,1677105395,1802908800,0x547283f06b4479fa8bf641caa2ddc7276d4899bf,,1456
638,100,1677105395,1802908800,0x547283f06b4479fa8bf641caa2ddc7276d4899bf,,1456
639,100,1677105395,1802908800,0x547283f06b4479fa8bf641caa2ddc7276d4899bf,,1456
640,100,1677105395,1802908800,0x547283f06b4479fa8bf641caa2ddc7276d4899bf,,1456
641,100,1677161375,1802908800,0x547283f06b4479fa8bf641caa2ddc7276d4899bf,,1455
645,100,1677163511,1802908800,0x4639a3a9ca83f496adaef4d1e2bfa82bced7921f,,1455
646,100,1677163559,1802908800,0x57986e0f27ad2997f06f960c86f962b9e5dd4d00,,1455
647,100,1677163571,1802908800,0x57986e0f27ad2997f06f960c86f962b9e5dd4d00,,1455
648,100,1677164795,1802908800,0x57986e0f27ad2997f06f960c86f962b9e5dd4d00,,1455
650,100,1677165071,1802908800,0x19949919306c9c178bd744a7b3013f3f101086ec,,1455
651,100,1677165275,1802908800,0x57986e0f27ad2997f06f960c86f962b9e5dd4d00,,1455
653,100,1677474203,1803513600,0x51ecc9e8efdd18f740cc1791f6d55109ebec7ac1,,1459
654,300,1677519011,1803513600,0x13b19fd63d34be9d3d6d25ebd7142134c0cfc725,,1458
655,200,1677519047,1803513600,0x4892db7037c4a4d1298fb58cce082008263a8416,,1458
656,200,1677519107,1803513600,0xcf015336fab19facb207a21bdf0828766db1e113,,1458
657,200,1677519155,1803513600,0x7ed71581fcde4e8f11952b73ccebebca15eab6dd,,1458
658,200,1677519191,1803513600,0xb10fa39325432e618d819462836e689780f892d5,,1458
659,313,1677596675,1803513600,0x73807a4e6eab716e246265a2c7fc69920a690215,,1457
660,1400,1677618791,1803513600,0x33293ae4890eed51c49861ddd9c042f8a6199fea,,1457
661,101,1677646835,1803513600,0xc800b3efe34f5a095abb46f7f6c2ef2169926048,,1457
